country_code,country_name,date,value,indicator,indicator_name
ZH,Africa Eastern and Southern,2023,1659.51529015376,NY.GDP.PCAP.CD,gdp_per_capita
ZH,Africa Eastern and Southern,2022,1628.02452570959,NY.GDP.PCAP.CD,gdp_per_capita
ZH,Africa Eastern and Southern,2021,1522.59008804972,NY.GDP.PCAP.CD,gdp_per_capita
ZH,Africa Eastern and Southern,2020,1344.08096192004,NY.GDP.PCAP.CD,gdp_per_capita
ZH,Africa Eastern and Southern,2019,1493.78044490037,NY.GDP.PCAP.CD,gdp_per_capita
ZH,Africa Eastern and Southern,2018,1538.92418773564,NY.GDP.PCAP.CD,gdp_per_capita
ZH,Africa Eastern and Southern,2017,1520.17129839287,NY.GDP.PCAP.CD,gdp_per_capita
ZH,Africa Eastern and Southern,2016,1329.77782375583,NY.GDP.PCAP.CD,gdp_per_capita
ZH,Africa Eastern and Southern,2015,1479.56412348117,NY.GDP.PCAP.CD,gdp_per_capita
ZH,Africa Eastern and Southern,2014,1656.10764215035,NY.GDP.PCAP.CD,gdp_per_capita
ZH,Africa Eastern and Southern,2013,1673.14047580686,NY.GDP.PCAP.CD,gdp_per_capita
ZH,Africa Eastern and Southern,2012,1702.96925758003,NY.GDP.PCAP.CD,gdp_per_capita
ZH,Africa Eastern and Southern,2011,1735.58514005394,NY.GDP.PCAP.CD,gdp_per_capita
ZH,Africa Eastern and Southern,2010,1601.72774808025,NY.GDP.PCAP.CD,gdp_per_capita
ZI,Africa Western and Central,2023,1568.72431045118,NY.GDP.PCAP.CD,gdp_per_capita
ZI,Africa Western and Central,2022,1777.23501216669,NY.GDP.PCAP.CD,gdp_per_capita
ZI,Africa Western and Central,2021,1747.84054911545,NY.GDP.PCAP.CD,gdp_per_capita
ZI,Africa Western and Central,2020,1664.24917643553,NY.GDP.PCAP.CD,gdp_per_capita
ZI,Africa Western and Central,2019,1783.65436491191,NY.GDP.PCAP.CD,gdp_per_capita
ZI,Africa Western and Central,2018,1703.89639222804,NY.GDP.PCAP.CD,gdp_per_capita
ZI,Africa Western and Central,2017,1560.16299864482,NY.GDP.PCAP.CD,gdp_per_capita
ZI,Africa Western and Central,2016,1616.84319800249,NY.GDP.PCAP.CD,gdp_per_capita
ZI,Africa Western and Central,2015,1845.76780421108,NY.GDP.PCAP.CD,gdp_per_capita
ZI,Africa Western and Central,2014,2204.99569969979,NY.GDP.PCAP.CD,gdp_per_capita
ZI,Africa Western and Central,2013,2113.31698591778,NY.GDP.PCAP.CD,gdp_per_capita
ZI,Africa Western and Central,2012,1920.11991168727,NY.GDP.PCAP.CD,gdp_per_capita
ZI,Africa Western and Central,2011,1824.72282666403,NY.GDP.PCAP.CD,gdp_per_capita
ZI,Africa Western and Central,2010,1647.14984698519,NY.GDP.PCAP.CD,gdp_per_capita
1A,Arab World,2023,7292.21040780618,NY.GDP.PCAP.CD,gdp_per_capita
1A,Arab World,2022,7658.40646973315,NY.GDP.PCAP.CD,gdp_per_capita
1A,Arab World,2021,6445.80726093411,NY.GDP.PCAP.CD,gdp_per_capita
1A,Arab World,2020,5648.34111789395,NY.GDP.PCAP.CD,gdp_per_capita
1A,Arab World,2019,6525.21184312384,NY.GDP.PCAP.CD,gdp_per_capita
1A,Arab World,2018,6576.51663083912,NY.GDP.PCAP.CD,gdp_per_capita
1A,Arab World,2017,6005.39012863954,NY.GDP.PCAP.CD,gdp_per_capita
1A,Arab World,2016,5957.05983659325,NY.GDP.PCAP.CD,gdp_per_capita
1A,Arab World,2015,6203.70263640435,NY.GDP.PCAP.CD,gdp_per_capita
1A,Arab World,2014,7259.93672933779,NY.GDP.PCAP.CD,gdp_per_capita
1A,Arab World,2013,7311.29675508093,NY.GDP.PCAP.CD,gdp_per_capita
1A,Arab World,2012,7336.19770815465,NY.GDP.PCAP.CD,gdp_per_capita
1A,Arab World,2011,6883.37402358513,NY.GDP.PCAP.CD,gdp_per_capita
1A,Arab World,2010,5928.30479005386,NY.GDP.PCAP.CD,gdp_per_capita
S3,Caribbean small states,2023,16906.5672140942,NY.GDP.PCAP.CD,gdp_per_capita
S3,Caribbean small states,2022,15564.5576210508,NY.GDP.PCAP.CD,gdp_per_capita
S3,Caribbean small states,2021,11920.3427576157,NY.GDP.PCAP.CD,gdp_per_capita
